                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     22,                0.62942,                0.68978,                 1.1046,                  0.731,                0.53361,                0.54823,                0.32178,                 1.3344,                 1.0776,                 1.5563,              0.0098961,              0.0098961,              0.0098961
                     23,                0.61703,                0.66991,                 1.0939,                0.74192,                0.53247,                0.56378,                0.32429,                 1.3578,                 1.0521,                 1.5754,              0.0098911,              0.0098911,              0.0098911
                     24,                0.61395,                 0.6694,                  1.092,                0.77869,                0.54319,                0.59661,                0.33922,                 1.3277,                 1.1009,                 1.5663,              0.0098861,              0.0098861,              0.0098861
                     25,                0.58496,                0.62521,                 1.0695,                0.78923,                0.57601,                0.59791,                0.33469,                 1.3529,                 1.0263,                 1.5641,              0.0098812,              0.0098812,              0.0098812
                     26,                0.58349,                0.62616,                 1.0701,                0.77411,                0.56173,                0.59541,                0.34634,                 1.3291,                 1.0614,                 1.6045,              0.0098763,              0.0098763,              0.0098763
                     27,                0.61745,                0.67203,                 1.0969,                0.58768,                0.56969,                0.57688,                0.34185,                 1.3143,                  1.017,                 1.5434,              0.0098713,              0.0098713,              0.0098713
                     28,                0.61461,                0.66677,                 1.0926,                0.58942,                0.57489,                0.60016,                  0.349,                 1.3443,                 1.0288,                 1.5528,              0.0098664,              0.0098664,              0.0098664
                     29,                0.62015,                0.67297,                 1.0973,                0.57418,                 0.5401,                0.57142,                 0.3383,                 1.3115,                 1.0486,                 1.5529,              0.0098614,              0.0098614,              0.0098614
                     30,                0.62754,                0.69552,                 1.1043,                0.72997,                0.55832,                0.57498,                0.32462,                 1.2967,                 1.0623,                 1.5463,              0.0098565,              0.0098565,              0.0098565
                     31,                0.62835,                0.69299,                 1.1045,                0.56369,                0.54523,                0.55932,                0.32688,                  1.325,                 1.0758,                 1.5195,              0.0098515,              0.0098515,              0.0098515
                     32,                0.62836,                0.68997,                 1.1031,                0.52265,                0.56381,                0.57357,                0.34048,                 1.2936,                 1.0059,                 1.5187,              0.0098466,              0.0098466,              0.0098466
                     33,                0.62949,                0.69232,                 1.1036,                0.73677,                0.55589,                   0.58,                0.34556,                 1.2831,                 1.0654,                 1.5086,              0.0098416,              0.0098416,              0.0098416
                     34,                0.63321,                0.69969,                 1.1076,                0.80912,                0.54828,                0.59378,                 0.3521,                  1.295,                 1.0338,                 1.5055,              0.0098367,              0.0098367,              0.0098367
                     35,                0.63643,                0.69579,                 1.1085,                 0.7913,                0.55513,                0.57771,                0.33553,                 1.2798,                 1.0611,                 1.4926,              0.0098317,              0.0098317,              0.0098317
                     36,                0.62988,                0.69605,                 1.1077,                0.55046,                0.59182,                0.58968,                 0.3414,                 1.3023,                 1.0859,                 1.5105,              0.0098268,              0.0098268,              0.0098268
                     37,                0.63117,                 0.6981,                 1.1069,                0.59064,                0.59373,                0.60965,                 0.3623,                 1.2778,                0.99837,                 1.4924,              0.0098218,              0.0098218,              0.0098218
                     38,                0.63246,                0.69409,                 1.1074,                0.83466,                0.56198,                0.61668,                 0.3481,                 1.2707,                 1.0062,                 1.4765,              0.0098169,              0.0098169,              0.0098169
                     39,                0.63174,                0.69375,                  1.107,                0.56024,                0.59106,                0.60282,                0.35893,                 1.2691,                 1.0273,                 1.4822,              0.0098119,              0.0098119,              0.0098119
                     40,                0.62923,                0.69169,                 1.1034,                0.57601,                0.58949,                0.59089,                0.35933,                 1.2553,                0.96942,                 1.4583,               0.009807,               0.009807,               0.009807
                     41,                0.62916,                0.69156,                 1.1037,                0.57101,                0.60151,                0.61915,                0.36828,                 1.2532,                0.96751,                 1.4704,               0.009802,               0.009802,               0.009802
                     42,                0.62679,                0.68668,                 1.1022,                0.78683,                0.57512,                0.58858,                0.35586,                 1.2686,                0.99815,                 1.4858,               0.009797,               0.009797,               0.009797
                     43,                0.63717,                0.69961,                 1.1096,                0.53652,                0.57416,                0.58094,                 0.3553,                 1.2531,                0.96538,                 1.4866,              0.0097921,              0.0097921,              0.0097921
                     44,                0.63416,                 0.6984,                  1.111,                0.65687,                0.55167,                0.60682,                0.36664,                 1.2398,                0.99305,                 1.4814,              0.0097871,              0.0097871,              0.0097871
                     45,                 0.6068,                0.65685,                 1.0867,                0.56384,                0.58532,                0.60153,                0.36487,                 1.2545,                 0.9475,                  1.476,              0.0097822,              0.0097822,              0.0097822
                     46,                0.61077,                 0.6649,                 1.0891,                0.54835,                0.59109,                0.60883,                0.36761,                 1.2748,                  1.002,                 1.4958,              0.0097773,              0.0097773,              0.0097773
                     47,                0.61569,                0.67145,                 1.0944,                0.83014,                0.58305,                0.60298,                0.36899,                 1.2797,                0.97711,                 1.5042,              0.0097723,              0.0097723,              0.0097723
                     48,                0.61543,                0.66618,                 1.0923,                0.77702,                0.57495,                0.58346,                0.35576,                 1.2585,                 0.9863,                 1.5123,              0.0097674,              0.0097674,              0.0097674
                     49,                0.62074,                 0.6724,                 1.0972,                0.58419,                0.59335,                0.61399,                0.36591,                 1.2442,                0.94068,                 1.4752,              0.0097624,              0.0097624,              0.0097624
